p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
1.82719712901947e-303,0.616729082328785,0.977,0.978,3.65439425803893e-300,0,MT3
1.15808831035524e-251,0.626345279983892,0.962,0.961,2.31617662071049e-248,0,DBI
4.15986926258561e-115,0.518537372862191,0.976,0.985,8.31973852517121e-112,0,MT2A
1.29112346700161e-78,0.310322040928039,0.933,0.958,2.58224693400323e-75,0,CST3
2.55129563627811e-53,0.617785804165718,0.804,0.902,5.10259127255622e-50,0,FABP7
3.61213579827253e-47,0.694564943800422,0.779,0.837,7.22427159654507e-44,0,DBIP1
1.43312482958807e-39,0.593966386462014,0.799,0.888,2.86624965917615e-36,0,MT2P1
3.47617840692764e-38,0.340174533277909,0.625,0.84,6.95235681385527e-35,0,RP11-71N10.1
1.27996123458556e-33,0.333649144435383,0.867,0.902,2.55992246917112e-30,0,C1orf61
1.16278194407463e-31,0.290565680965876,0.795,0.873,2.32556388814925e-28,0,CKB
2.92840566562403e-25,0.257511048977016,0.602,0.801,5.85681133124806e-22,0,GDF15
9.57017724829702e-21,0.415504872441628,0.625,0.823,1.9140354496594e-17,0,METTL7B
1.47248870990391e-19,0.279966434071295,0.468,0.673,2.94497741980782e-16,0,MT1E
1.74984495039031e-19,0.480981749138292,0.812,0.899,3.49968990078062e-16,0,TIMP1
1.5630551299742e-17,0.330795066099194,0.546,0.716,3.12611025994841e-14,0,MT1L
8.04207600252724e-16,0.298148386751274,0.581,0.772,1.60841520050545e-12,0,RBP1
1.30091458695987e-15,0.281269998891457,0.619,0.782,2.60182917391973e-12,0,BST2
2.01688169810294e-14,0.382417072269041,0.689,0.863,4.03376339620589e-11,0,S100A16
7.97849445041531e-12,0.281681763478361,0.527,0.685,1.59569889008306e-08,0,OCIAD2
3.7354938183517e-11,0.50814151729924,0.726,0.868,7.4709876367034e-08,0,HOPX
1.14783487283103e-10,0.399529644162,0.833,0.916,2.29566974566206e-07,0,MT1X
2.22347094647378e-10,0.27360022665248,0.364,0.528,4.44694189294756e-07,0,GAP43
5.90567717115289e-10,0.333656713539047,0.843,0.935,1.18113543423058e-06,0,TSC22D4
9.18072789283045e-10,0.341348423055308,0.693,0.802,1.83614557856609e-06,0,FABP5
2.99292128227747e-08,0.421937527041123,0.444,0.618,5.98584256455495e-05,0,S100A13
1.55739303476531e-07,0.279079036765534,0.825,0.867,0.000311478606953062,0,CYCS
1.6834281118171e-07,0.26237456710038,0.661,0.82,0.000336685622363419,0,NUPR1
1.27565078496221e-06,0.264849974611388,0.635,0.828,0.00255130156992442,0,IGFBP2
1.42242035297943e-06,0.33959003394609,0.724,0.872,0.00284484070595885,0,MDK
0.000250074774862627,0.304992961295033,0.445,0.593,0.500149549725254,0,BEX1
