"p_val" "avg_logFC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"GFAP" 0 2.38178311710177 0.971 0.667 0 "1" "GFAP"
"APOE" 0 2.15872461541149 0.996 0.863 0 "1" "APOE"
"CLU" 0 1.45755911394927 0.992 0.91 0 "1" "CLU"
"AQP4" 0 1.05406421819777 0.925 0.751 0 "1" "AQP4"
"TUBA1B" 0 1.12137293666083 0.986 0.8 0 "4" "TUBA1B"
"CD74" 0 2.50310642193315 0.985 0.443 0 "5" "CD74"
"HLA-DRA" 0 2.15733104149541 0.958 0.423 0 "5" "HLA-DRA"
"SPP1" 0 2.02912521813801 0.9 0.429 0 "5" "SPP1"
"FTL" 0 1.81190717181063 0.992 0.895 0 "5" "FTL"
"C1QB" 0 1.81188864302179 0.94 0.304 0 "5" "C1QB"
"FCGBP" 0 1.71355624386386 0.883 0.344 0 "5" "FCGBP"
"HLA-DRB1" 0 1.67124641304443 0.895 0.392 0 "5" "HLA-DRB1"
"SAT1" 0 1.51431974941952 0.927 0.545 0 "5" "SAT1"
"DUSP1" 0 1.50698934862126 0.929 0.493 0 "5" "DUSP1"
"CCL3" 0 1.46866336978808 0.853 0.345 0 "5" "CCL3"
"RGS1" 0 1.46230735084911 0.864 0.35 0 "5" "RGS1"
"C3" 0 1.46000553484833 0.905 0.303 0 "5" "C3"
"APOC1" 0 1.45522513626221 0.843 0.335 0 "5" "APOC1"
"SRGN" 0 1.44814440699011 0.92 0.375 0 "5" "SRGN"
"LAPTM5" 0 1.37387259134313 0.885 0.417 0 "5" "LAPTM5"
"CTSB" 0 1.30123795076674 0.915 0.62 0 "5" "CTSB"
"SGK1" 0 1.21723167895707 0.819 0.366 0 "5" "SGK1"
"HLA-DPA1" 0 1.21380860967826 0.829 0.423 0 "5" "HLA-DPA1"
"CCL4" 0 1.18585686234007 0.765 0.292 0 "5" "CCL4"
"CTSD" 0 1.17647750524054 0.864 0.627 0 "5" "CTSD"
"HLA-DPB1" 0 1.14440268375772 0.804 0.49 0 "5" "HLA-DPB1"
"C1QA" 0 1.09888406315395 0.826 0.343 0 "5" "C1QA"
"TYROBP" 0 1.03270789111264 0.809 0.283 0 "5" "TYROBP"
"TUBA1B1" 0 1.56774819363803 0.988 0.808 0 "6" "TUBA1B"
"UBE2C" 0 1.28657649455925 0.891 0.533 0 "6" "UBE2C"
"PTTG1" 0 1.27898127289765 0.911 0.574 0 "6" "PTTG1"
"HMGB2" 0 1.21933663714578 0.925 0.617 0 "6" "HMGB2"
"HMGN2" 0 1.14429516608411 0.955 0.748 0 "6" "HMGN2"
"BIRC5" 0 1.07667367768158 0.945 0.634 0 "6" "BIRC5"
"CLDN5" 1.0410369634544e-307 2.45961099946419 0.982 0.521 2.08207392690881e-304 "9" "CLDN5"
"IGFBP7" 9.25979474418845e-301 3.04720643134439 0.994 0.726 1.85195894883769e-297 "9" "IGFBP7"
"A2M" 2.56042585866147e-285 2.68698035801569 0.98 0.569 5.12085171732293e-282 "9" "A2M"
"HSPG2" 1.55949762488268e-281 1.46283416570116 0.956 0.625 3.11899524976536e-278 "9" "HSPG2"
"ITM2A" 2.40023894871479e-275 2.03118511941823 0.95 0.456 4.80047789742959e-272 "9" "ITM2A"
"COL4A1" 3.35335400472993e-271 1.89908426339034 0.964 0.646 6.70670800945987e-268 "9" "COL4A1"
"TMSB10" 3.46975534520554e-271 1.7037141727151 0.998 0.969 6.93951069041109e-268 "9" "TMSB10"
"SPARC" 5.09906095658666e-265 2.48067540901928 1 0.91 1.01981219131733e-261 "9" "SPARC"
"APOLD1" 2.74442675738736e-254 1.80501501227098 0.935 0.553 5.48885351477472e-251 "9" "APOLD1"
"COL4A2" 6.57683832043637e-253 1.5883188855159 0.949 0.617 1.31536766408727e-249 "9" "COL4A2"
"MCAM" 3.82148785889706e-245 1.00372432265997 0.921 0.426 7.64297571779411e-242 "9" "MCAM"
"VWF" 1.46638536671743e-241 1.48530543023299 0.907 0.513 2.93277073343485e-238 "9" "VWF"
"CA2" 2.12006998999899e-235 1.79035982385625 0.925 0.599 4.24013997999798e-232 "9" "CA2"
"SLC38A5" 6.56573223832947e-211 1.35308249702823 0.871 0.434 1.31314644766589e-207 "9" "SLC38A5"
"INSR" 1.38072351637673e-210 1.09483374953703 0.881 0.393 2.76144703275346e-207 "9" "INSR"
"ADGRL4" 7.24239733447029e-206 1.24645753860425 0.881 0.592 1.44847946689406e-202 "9" "ADGRL4"
"PECAM1" 5.67309632201516e-205 1.13513032844291 0.881 0.53 1.13461926440303e-201 "9" "PECAM1"
"ESAM" 5.68540265918202e-199 1.43969618208015 0.879 0.509 1.1370805318364e-195 "9" "ESAM"
"IGFBP3" 1.23702166545729e-198 1.17720117242257 0.855 0.337 2.47404333091458e-195 "9" "IGFBP3"
"MFSD2A" 1.77581285911366e-196 1.23436125006895 0.865 0.43 3.55162571822731e-193 "9" "MFSD2A"
"IFI27" 2.7947550595865e-195 1.24333503646344 0.853 0.316 5.589510119173e-192 "9" "IFI27"
"FLT1" 1.21698526054139e-182 1.07377799708373 0.826 0.381 2.43397052108278e-179 "9" "FLT1"
"RGCC" 3.33077738497833e-180 1.30238015034691 0.879 0.398 6.66155476995666e-177 "9" "RGCC"
"ITGB1" 1.01134149383923e-164 1.07350116931919 0.871 0.524 2.02268298767845e-161 "9" "ITGB1"
"EPAS1" 2.93300544273406e-164 1.15476728172827 0.863 0.657 5.86601088546811e-161 "9" "EPAS1"
"CTGF" 4.34285044483214e-163 1.46605343635102 0.822 0.374 8.68570088966428e-160 "9" "CTGF"
"GNG11" 1.84491037455806e-148 1.05876549985563 0.867 0.772 3.68982074911612e-145 "9" "GNG11"
"ANGPT2" 6.6504860440863e-141 1.07814776178791 0.81 0.608 1.33009720881726e-137 "9" "ANGPT2"
"RGS5" 1.90655187179191e-299 2.82619970055694 0.986 0.689 3.81310374358383e-296 "10" "RGS5"
"FN1" 4.95780921757398e-284 2.96640116698939 0.977 0.404 9.91561843514795e-281 "10" "FN1"
