	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
1	3.816287e-124	1.2373454	0.993	0.458	6.794899e-120	0	C1QB
2	 6.803114e-95	1.0045573	0.935	0.410	 1.211294e-90	0	C1QA
3	 1.348052e-84	1.2430384	0.869	0.353	 2.400207e-80	0	FCGBP
4	 2.848580e-63	0.7979765	0.912	0.557	 5.071897e-59	0	CTSB
5	 4.450372e-59	0.7994753	0.729	0.258	 7.923888e-55	0	CD14
6	 5.409396e-57	0.7348583	0.991	0.559	 9.631429e-53	1	CD74
7	 4.063025e-51	0.7271203	0.927	0.481	 7.234215e-47	1	SAT1
8	 2.496336e-50	0.6859704	0.897	0.397	 4.444726e-46	1	HLA-DRB1
9	 3.670978e-49	0.9029740	0.884	0.442	 6.536176e-45	1	APOC1
10	 1.061470e-48	0.6876824	0.957	0.504	 1.889947e-44	1	HLA-DRA
11	2.370752e-161	1.9036183	0.940	0.216	4.221124e-157	2	CCL3L3
12	2.152314e-160	2.0064542	0.982	0.361	3.832195e-156	2	CCL3
13	1.039781e-149	1.7330505	1.000	0.501	1.851331e-145	2	CCL4
14	3.876714e-132	1.6554673	0.982	0.399	6.902490e-128	2	CCL4L2
15	 2.681154e-90	1.4448073	0.829	0.183	 4.773795e-86	2	IL1B
16	1.024203e-133	2.5073180	0.876	0.472	1.823594e-129	3	MSMP
17	 3.074515e-88	1.3946704	0.952	0.364	 5.474174e-84	3	SMARCA5
18	 3.919939e-73	1.6080576	0.883	0.354	 6.979452e-69	3	MGP
19	 8.482600e-66	1.3589666	0.952	0.785	 1.510327e-61	3	CST3
20	 1.257073e-46	1.2454574	0.821	0.305	 2.238219e-42	3	IGFBP5
21	 4.882638e-59	1.5173859	0.779	0.168	 8.693537e-55	4	GFAP
22	 9.491843e-59	1.4292961	0.757	0.191	 1.690023e-54	4	CYR61
23	 2.528112e-56	1.1913198	0.787	0.177	 4.501303e-52	4	AEBP1
24	 5.214308e-49	1.3490575	0.772	0.445	 9.284075e-45	4	JUN
25	 1.044154e-40	1.1881174	0.757	0.460	 1.859115e-36	4	EGR1
26	5.360715e-107	2.2068967	0.925	0.543	9.544753e-103	5	CHI3L1
27	 6.764751e-86	1.4563988	1.000	0.870	 1.204464e-81	5	MT2A
28	 2.647217e-68	1.3374710	1.000	0.673	 4.713370e-64	5	CLU
29	 9.160609e-61	1.2929100	0.970	0.524	 1.631046e-56	5	MT1X
30	 2.446232e-52	1.7484430	0.571	0.185	 4.355517e-48	5	HP
31	 1.017007e-18	0.8598523	0.766	0.496	 1.810781e-14	6	MT3
32	 2.156876e-18	0.6854494	0.685	0.329	 3.840317e-14	6	RP11-745C15.2
33	 1.454297e-14	0.6672935	0.955	0.876	 2.589376e-10	6	MT2A
34	 8.547358e-14	0.6564839	0.838	0.543	 1.521857e-09	6	MT1X
35	 6.544227e-12	0.8430531	0.793	0.636	 1.165200e-07	6	IFI6
36	 8.266361e-39	1.7518967	0.912	0.092	 1.471826e-34	7	BCAN
37	 2.822106e-37	1.7984295	0.941	0.151	 5.024760e-33	7	C1orf61
38	 5.758636e-30	2.0155695	0.912	0.211	 1.025325e-25	7	GFAP
39	 1.113902e-28	1.2410711	0.853	0.127	 1.983302e-24	7	S100B
40	 9.556371e-24	1.3623518	0.853	0.122	 1.701512e-19	7	ATP1A2
41	 1.210876e-38	1.6067114	0.882	0.118	 2.155965e-34	8	NDRG1
42	 4.785603e-28	1.1217069	0.735	0.050	 8.520766e-24	8	AKAP12
43	 1.215999e-24	1.2933152	0.912	0.168	 2.165087e-20	8	VEGFA
44	 9.796506e-21	1.5673126	0.912	0.345	 1.744268e-16	8	IGFBP5
45	 5.510384e-19	1.2023736	0.765	0.140	 9.811239e-15	8	ADM
46	 3.051985e-21	1.1534837	0.700	0.038	 5.434060e-17	9	HK2
47	 1.352263e-20	1.2320111	0.750	0.090	 2.407704e-16	9	NUPR1
48	 1.259075e-14	1.1345557	0.800	0.139	 2.241783e-10	9	GPNMB
49	 7.992579e-13	1.2504105	0.650	0.220	 1.423079e-08	9	RGCC
50	 2.916158e-07	1.3153546	0.900	0.682	 5.192219e-03	9	SPP1
51	 1.467615e-27	2.3747462	1.000	0.200	 2.613089e-23	10	IGFBP7
52	 1.550315e-17	2.0511072	1.000	0.400	 2.760335e-13	10	SPARC
53	 6.025540e-17	1.3530196	0.889	0.005	 1.072847e-12	10	COL1A2
54	 4.305400e-16	1.2425358	1.000	0.022	 7.665764e-12	10	COL4A2
55	 3.026955e-13	1.7672095	0.667	0.020	 5.389494e-09	10	COL4A1
